date,year,type,country,state,location,activity,sex,age,fatal_y/n,time,sex_clean,activity_clean,hour,time_period
21 Nov-2023,2023,Unprovoked,BAHAMAS,Grand  Bahama Island,Tiger Beach,Scuba diving,F,47.0,Y,10:30,Female,Diving,10.0,Morning
10 Nov-2023,2023,Unprovoked,AUSTRALIA,South Australia,Port Noarlunga,Free diving,F,32.0,N,13:20,Female,Diving,13.0,Afternoon
05 Nov-2023,2023,Unprovoked,UNITED STATES,Florida,"Juno Beach, Palm Beach County",Swimming,M,66.0,N,10:30,Male,Swimming,10.0,Morning
03 Nov-2023,2023,Unprovoked,AUSTRALIA,Westerm Australia,Peak Island,Spearfishing,M,,N,14:00,Male,Spearfishing,14.0,Afternoon
02 Nov-2023,2023,Unprovoked,NEW ZEALAND,North Island,Cape Pallister,Free diving,M,,N,09:00,Male,Diving,9.0,Morning
Reported 02 Nov-2023,2023,Questionable,EGYPT,Southern Red Sea,Fury Shoal,Scuba diving,M,66.0,N,nan,Male,Diving,,
31 Oct-2023,2023,Unprovoked,AUSTRALIA,South Australia,Streaky Bay,Surfing,M,55.0,Y,10:20,Male,Surfing,10.0,Morning
25 Oct 2023,2023,Unprovoked,UNITED STATES,Hawaii,"Pua’Ena Point, Haleiwa, Oahu",Surfing,M,30.0,N,15:05,Male,Surfing,15.0,Afternoon
23 Oct-2023,2023,Provoked,MEXICO,Quintana Roo,Banco Chinchorro Biosphere Reserve,Fishing,M,59.0,N,nan,Male,Fishing,,
21 Oct-2023,2023,Watercraft,AUSTRALIA,Western Australia,"Alexander Bay, Esperance",Fishing,M,,N,17:00,Male,Fishing,17.0,Evening
20 Oct 2023,2023,Unprovoked,BELIZE,Belize District,"San Pedro , Ambergris Caye",Snorkeling,F,8.0,N,nan,Female,Snorkeling,,
15 Oct 2023,2023,Unprovoked,UNITED STATES,Hawaii,"Hanalei Bay, Kauai",Surfing,M,50.0,N,16:00,Male,Surfing,16.0,Afternoon
13 Oct-2023,2023,Unprovoked,UNITED STATES,California,"Linda Mar, Pacific State Beach, San Mateo County",Surfing,M,52.0,N,15:45,Male,Surfing,15.0,Afternoon
02 Oct-2023,2023,Unprovoked,UNITED STATES,Hawaii,"Paia, Maui",Surfing,F,45.0,N,13:00,Female,Surfing,13.0,Afternoon
01 Oct-2023,2023,Unprovoked,AUSTRALIA,South Australia,Beachport,Swimming,F,64.0,N,07:45,Female,Swimming,7.0,Morning
01 Oct-2023,2023,Unprovoked,UNITED STATES,California,"Wildcat Beach, Marin County",Swimming,M,52.0,Y,10:40,Male,Swimming,10.0,Morning
