date,year,type,country,state,location,activity,sex,age,fatal_y/n,time,sex_clean,activity_clean,hour,time_period
28-Feb-1987,1987,Unprovoked,UNITED STATES,Florida,"Singer Island, Riviera Beach, Palm Beach County",Windsurfing,M,,N,nan,Male,Surfing,,
19-Feb-1987,1987,Sea Disaster,SOLOMON ISLANDS,Between Honiara & Isabel Island,,The inter-island ferry Vula sank in heavy weather,Unknown,,Y,nan,Unknown,Other,,
28-Jan-1987,1987,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Eerste River,Spearfishing,M,30.0,N,12:00,Male,Spearfishing,12.0,Afternoon
06-Jan-1987,1987,Unprovoked,AUSTRALIA,Queensland,Lizard Island,Swimming,M,37.0,N,07:00,Male,Swimming,7.0,Morning
1987,1987,Invalid,MONTENEGRO,Adriatic Sea,"Mogren Beach, Budva",Jumped into the water from a cliff,M,,Unknown,nan,Male,Other,,
1987,1987,Watercraft,ITALY,Tyrrhenian Sea,"Marciana Marina, Isola D'Elba",Boat,M,,N,nan,Male,Other,,
31-Dec-1986,1986,Unprovoked,SOUTH AFRICA,Western Cape Province,Agulhas Banks,Spearfishing,M,,N,14:00,Male,Spearfishing,14.0,Afternoon
22-Dec-1986,1986,Unprovoked,SOUTH AFRICA,Western Cape Province,Saou Strand,Body boarding,M,21.0,Y,17:00,Male,Surfing,17.0,Evening
11-Dec-1986,1986,Unprovoked,UNITED STATES,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,40.0,N,14:00,Male,Surfing,14.0,Afternoon
06-Dec-1986,1986,Unprovoked,BAHAMAS,Florida Straits,Off Cay Sal Banks,Adrift after ditching plane in the sea,M,37.0,N,nan,Male,Other,,
06-Dec-1986,1986,Unprovoked,UNITED STATES,California,"Monastery Beach, Carmel River State Park, Monterey Peninsula, Monterey California",Free diving  & spearfishing (submerged),M,27.0,N,10:00,Male,Diving,10.0,Morning
04-Dec-1986,1986,Invalid,SOUTH AFRICA,Western Cape Province,Platbank,Spearfishing,M,22.0,Unknown,nan,Male,Spearfishing,,
Dec-1986,1986,Unprovoked,NEW CALEDONIA,,I'Le Ouen,Spearfishing,Unknown,,N,nan,Unknown,Spearfishing,,
30-Nov-1986,1986,Unprovoked,UNITED STATES,Florida,"Daytona Beach, Volusia County",Surfing,M,17.0,N,10:30,Male,Surfing,10.0,Morning
19-Nov-1986,1986,Unprovoked,UNITED STATES,Florida,"Indiatlantic, Brevard County",Surfing,M,26.0,N,10:40,Male,Surfing,10.0,Morning
04-Nov-1986,1986,Unprovoked,UNITED STATES,Florida,"Tiger Shores Beach, Martin County",Surfing,M,23.0,N,nan,Male,Surfing,,
17-Oct-1986,1986,Provoked,SOUTH AFRICA,Kwazulu-Natal,Umhlanga,NSB Meshing,M,,N,nan,Male,Other,,
03-Oct-1986,1986,Unprovoked,UNITED STATES,Florida,"Sanibel Island, Lee County",Swimming,F,6.0,N,18:00,Female,Swimming,18.0,Evening
05-Oct-1986,1986,Unprovoked,SOUTH AFRICA,Kwazulu-Natal,St. Michaels,Racing ski,M,32.0,N,11:00,Male,Other,11.0,Morning
01-Oct-1986,1986,Unprovoked,AUSTRALIA,Western Australia,"Direction Island, Cocos Islands",Unknown,Unknown,,Unknown,nan,Unknown,Unknown,,
Oct-1986,1986,Unprovoked,UNITED STATES,Florida,"Floridana Beach, Brevard County",Surfing,M,28.0,N,nan,Male,Surfing,,
Reported 22-Sep-1986 ,1986,Invalid,UNITED STATES,Florida,"Pinellas Point, Tampa Bay",Unknown,Unknown,,Unknown,nan,Unknown,Unknown,,
Sep-1986,1986,Unprovoked,UNITED STATES,Florida,"Ormond Beach / Daytona Beach, Volusia County",Surfing,Unknown,,N,nan,Unknown,Surfing,,
Sep-1986,1986,Unprovoked,UNITED STATES,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,Unknown,18.0,N,nan,Unknown,Surfing,,
19-Aug-1986,1986,Unprovoked,UNITED STATES,North Carolina,"Masonboro Inlet, New Hanover County",Surfing,Unknown,16.0,N,nan,Unknown,Surfing,,
10-Aug-1986,1986,Invalid,SOUTH AFRICA,Western Cape Province,Reef On Seaward Side Of Geyser Island,Spearfishing,M,35.0,Unknown,11:30,Male,Spearfishing,11.0,Morning
03-Aug-1986,1986,Unprovoked,AUSTRALIA,New South Wales,"North Head, Sydney Harbour",Scuba diving,F,,N,nan,Female,Diving,,
Aug-1986,1986,Unprovoked,FRANCE,Gulf Of Lyons,Gruissan,Unknown,Unknown,,N,nan,Unknown,Unknown,,
26-Jul-1986,1986,Watercraft,AUSTRALIA,Western Australia,West Of Rottnest Island,Fishing,Unknown,,N,nan,Unknown,Fishing,,
09-Jul-1986,1986,Unprovoked,UNITED STATES,South Carolina,"Myrtle Beach, Horry County",Unknown,M,8.0,N,nan,Male,Unknown,,
Jul-1986,1986,Unprovoked,SOUTH AFRICA,Kwazulu-Natal,Lamercy,Spearfishing,M,26.0,N,17:15,Male,Spearfishing,17.0,Evening
18-May-1986,1986,Unprovoked,AUSTRALIA,New South Wales,"North Head, Sydney Harbour",Scuba diving,M,,N,nan,Male,Diving,,
15-May-1986,1986,Unprovoked,SOUTH KOREA,,,Shell diving,M,,Y,nan,Male,Diving,,
20-Apr-1986,1986,Unprovoked,UNITED STATES,Hawaii,"Kaliiwi, Kauai","Fishing, fell from rocks & disappeared",M,,Y,nan,Male,Fishing,,
Apr-1986,1986,Unprovoked,SPAIN,Catalonia,Lloret-De-Mar,Diving,M,,N,nan,Male,Diving,,
18-Mar-1986,1986,Unprovoked,SPAIN,Cádiz,Tarifa,Windsurfing,M,,N,10:55,Male,Surfing,10.0,Morning
15-Mar-1986,1986,Unprovoked,SOUTH AFRICA,Kwazulu-Natal,"North Beach, Durban",Treading water,M,26.0,N,16:15,Male,Swimming,16.0,Afternoon
5-Mar-1986,1986,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"The Fence, King'S Beach, Port Elizabeth",Surfing,M,23.0,N,nan,Male,Surfing,,
18-Feb-1986,1986,Unprovoked,SOUTH AFRICA,Eastern Cape Province,East London,Surfing,M,21.0,N,12:00,Male,Surfing,12.0,Afternoon
17-Feb-1986,1986,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Cape Recife,Surfing,M,,N,18:00,Male,Surfing,18.0,Evening
07-Feb-1986,1986,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"King'S Beach, Port Elizabeth",Swimming,M,46.0,N,18:30,Male,Swimming,18.0,Evening
06-Feb-1986,1986,Unprovoked,SOUTH AFRICA,Western Cape Province,Arniston,Spearfishing,M,29.0,N,13:30,Male,Spearfishing,13.0,Afternoon
01-Feb-1986,1986,Unprovoked,AUSTRALIA,Victoria,Jan Juc Beach,Surfing,M,29.0,N,06j00,Male,Surfing,6.0,Morning
12-Jan-1986,1986,Unprovoked,UNITED STATES,Florida,"Singer Island, Riviera Beach, Palm Beach County",Surfing,M,22.0,N,08:35,Male,Surfing,8.0,Morning
1986,1986,Unprovoked,UNITED STATES,California,"Linda Mar Beach, Pedro Point, San Mateo County",Surfing,M,16.0,N,13:00,Male,Surfing,13.0,Afternoon
22-Dec-1985,1985,Unprovoked,SOUTH AFRICA,Kwazulu-Natal,Garvies Beach,Surfing,M,,N,nan,Male,Surfing,,
10-Dec-1985,1985,Unprovoked,UNITED STATES,North Carolina,New Hanover County,Unknown,M,,N,nan,Male,Unknown,,
11-Nov-1985,1985,Provoked,AUSTRALIA,Queensland,Gladstone,Fishing,M,,N,Afternoon,Male,Fishing,,
05-Nov-1985,1985,Watercraft,UNITED STATES,California,"Southeast Farallon Island, Farallon Islands",Boat,Unknown,,N,nan,Unknown,Other,,
03-Nov-1985,1985,Provoked,UNITED STATES,California,South Of Redondo Beach,Fishing,M,24.0,N,nan,Male,Fishing,,
24-Oct-1985,1985,Unprovoked,SOUTH AFRICA,Eastern Cape Province,East London,Body boarding,M,22.0,N,08:00,Male,Surfing,8.0,Morning
22-Oct-1985,1985,Unprovoked,UNITED STATES,California,"Point Conception, Santa Barbara County",Diving for abalone (Hookah),M,46.0,N,16:00,Male,Diving,16.0,Afternoon
18-Oct-1985,1985,Unprovoked,UNITED STATES,Hawaii,"Little Glass Shacks, Princeville, Kaua'I",Body boarding,M,33.0,N,nan,Male,Surfing,,
12-Oct-1985,1985,Unprovoked,UNITED STATES,Hawaii,"Barbers Point, O'Ahu",Floating on inner tube after diving for lobster,M,24.0,N,nan,Male,Swimming,,
  05-Oct-1985,1985,Provoked,UNITED STATES,Alabama,"Gulf Shores, Baldwin County",Fishing,M,,N,nan,Male,Fishing,,
28-Sep-1985,1985,Unprovoked,UNITED STATES,California,"Elephant Rock Near Tomales Point, Marin County",Free diving & spearfishing (descending),M,,N,nan,Male,Diving,,
08-Sep-1985,1985,Invalid,SOUTH AFRICA,Kwazulu-Natal,T.O. Strand,Swimming,M,21.0,Unknown,nan,Male,Swimming,,
08-Sep-1985,1985,Unprovoked,UNITED STATES,Florida,"Palm Beach, Palm Beach County",Scuba diving,M,,N,15:00,Male,Diving,15.0,Afternoon
05-Sep-1985,1985,Invalid,UNITED STATES,Florida,"Fort Pierce Inlet, St Lucie County",Swimming,M,17.0,Unknown,Afternoon,Male,Swimming,,
22-Aug-1985,1985,Unprovoked,UNITED STATES,South Carolina,"Palmetto Dunes, Hilton Head, Beaufort County",Wading,M,87.0,N,nan,Male,Swimming,,
20-Aug-1985,1985,Invalid,UNITED STATES,Florida,"New Smyrna Beach, Volusia County",Wading,M,11.0,Unknown,13:00,Male,Swimming,13.0,Afternoon
17-Aug-1985,1985,Invalid,UNITED STATES,Florida,"Bayport, Hernando County",Scuba diving,M,67.0,Unknown,10:30,Male,Diving,10.0,Morning
25-Jul-1985,1985,Unprovoked,UNITED STATES,Florida,"Daytona Beach, Volusia County",Wading,F,13.0,N,17:00,Female,Swimming,17.0,Evening
25-Jul-1985,1985,Unprovoked,UNITED STATES,Florida,"New Smyrna Beach, Volusia County",Surfing,M,15.0,N,10:22,Male,Surfing,10.0,Morning
21-Jul-1985,1985,Watercraft,UNITED STATES,California,"Off Shelter Cover (Between Fort Bragg & Eureka), Humboldt County",Bottom fishing for lingcod & had hooked a fish,Unknown,,N,nan,Unknown,Fishing,,
19-Jul-1985,1985,Unprovoked,UNITED STATES,South Carolina,"Folly Beach, Charleston County",Playing in knee-deep water,F,10.0,N,nan,Female,Other,,
Mid Jul-1985 or mid Jul-1986,1985,Unprovoked,ITALY,Sicily,Punta Secca,Snorkeling,M,13.0,N,16:00,Male,Snorkeling,16.0,Afternoon
26-May-1985,1985,Unprovoked,UNITED STATES,California,"Long Beach, Los Angeles County","Surfing, but lying prone on his board",M,,N,nan,Male,Surfing,,
08-May-1985,1985,Provoked,SOUTH AFRICA,Kwazulu-Natal,Umdhloti,Spearfishing,M,39.0,N,nan,Male,Spearfishing,,
16-Mar-1985,1985,Unprovoked,UNITED STATES,Florida,"Palm Beach, Palm Beach County",Surfing,M,25.0,N,nan,Male,Surfing,,
03-Mar-1985,1985,Unprovoked,AUSTRALIA,South Australia,"Wiseman’S Beach, Peake Bay, Port Lincoln",Free diving for scallops,F,33.0,Y,12:30,Female,Diving,12.0,Afternoon
18-Feb-1985,1985,Unprovoked,UNITED STATES,California,"San Miguel Island, Santa Barbara County",Scuba Diving for lobster (at surface),M,29.0,N,12:45,Male,Surfing,12.0,Afternoon
03-Feb-1985,1985,Unprovoked,UNITED STATES,Florida,"North Of Sebastian Inlet, Brevard County",Surfing,M,16.0,N,Afternoon,Male,Surfing,,
27-Jan-1985,1985,Unprovoked,SOUTH AFRICA,Western Cape Province,Struisbaai,Swimming,M,15.0,N,18:30,Male,Swimming,18.0,Evening
18-Jan-1985,1985,Invalid,SOUTH AFRICA,Kwazulu-Natal,Umzimkulu,Unknown,M,,Unknown,nan,Male,Unknown,,
17-Jan-1985,1985,Unprovoked,SOUTH AFRICA,Kwazulu-Natal,Umbogintwini,Surfing,M,18.0,N,18:30,Male,Surfing,18.0,Evening
16-Jan-1985,1985,Watercraft,NEW ZEALAND,South Island,Christchurch,Investigating shark sighting,Unknown,,N,nan,Unknown,Other,,
04-Jan-1985,1985,Unprovoked,SOUTH AFRICA,Western Cape Province,"Buffels Bay, False Bay",Spearfishing,M,34.0,N,11:30,Male,Spearfishing,11.0,Morning
Jan-1985,1985,Unprovoked,NEW CALEDONIA,South Province,Amedee Island,Spearfishing,Unknown,,N,nan,Unknown,Spearfishing,,
Jan-1985,1985,Provoked,SOUTH AFRICA,Kwazulu-Natal,Salt Rock,Spearfishing,M,20.0,N,11:00,Male,Spearfishing,11.0,Morning
1985,1985,Unprovoked,VANUATU,Malampa Province,"Port Sandwich Bay, Lamap, Malakula",Unknown,M,,Y,nan,Male,Unknown,,
1985,1985,Unprovoked,IRAN,,"Ramin, Near Ahvaz",Fishing,M,,Y,nan,Male,Fishing,,
03-Dec-1984,1984,Watercraft,ITALY,Tyrrhenian Sea,"Marciana Marina, Isola D'Elba",Boat,Unknown,,N,nan,Unknown,Other,,
30-Nov-1984,1984,Unprovoked,AUSTRALIA,Queensland,Off Black'S Beach,Sailing on catamaran & fell into the water,M,16.0,Y,12:33,Male,Other,12.0,Afternoon
11-Nov-1984,1984,Unprovoked,UNITED STATES,Florida,"Jupiter Island Beach, Martin County",Surfing,M,13.0,N,nan,Male,Surfing,,
04-Nov-1984,1984,Provoked,UNITED STATES,Florida,"Fowey Rock, Key Biscayne",Spearfishing,M,29.0,N,nan,Male,Spearfishing,,
21-Oct-1984,1984,Invalid,UNITED STATES,Florida,"Wabasso Beach, Indian River County",Swimming,M,22.0,Unknown,14:00,Male,Swimming,14.0,Afternoon
21-Oct-1984,1984,Unprovoked,UNITED STATES,Florida,"South Of Sebastian Inlet State Park, Indian River County",Surfing or body surfing,F,23.0,N,13:30,Female,Surfing,13.0,Afternoon
17-Oct-1984,1984,Invalid,UNITED STATES,Florida,"Boynton Beach, Palm Beach County",Wading,F,77.0,Unknown,12:05,Female,Swimming,12.0,Afternoon
14-Oct-1984,1984,Unprovoked,UNITED STATES,Florida,"Bob Graham Beach, Martin County",Surfing,M,15.0,N,15:00,Male,Surfing,15.0,Afternoon
30-Sep-1984,1984,Unprovoked,UNITED STATES,Oregon,"""Turnaround"", Cape Kiwanda, Tillamook County",Surfing (sitting on his board),M,25.0,N,15:30,Male,Surfing,15.0,Afternoon
30-Sep-1984,1984,Unprovoked,UNITED STATES,California,"Tomales Point, Marin County","Free diving , but surfacing",M,,N,10:00,Male,Surfing,10.0,Morning
23-Sep-1984,1984,Unprovoked,UNITED STATES,Florida,Volusia County,Surfing,M,17.0,N,14:00,Male,Surfing,14.0,Afternoon
22-Sep-1984,1984,Unprovoked,UNITED STATES,Florida,,Swimming,M,,N,nan,Male,Swimming,,
22-Sep-1984,1984,Unprovoked,UNITED STATES,Florida,"Indiatlantic, Brevard County",Surfing,M,16.0,N,Morning,Male,Surfing,,
19-Sep-1984,1984,Unprovoked,UNITED STATES,Florida,Volusia County,Swimming,Unknown,,Unknown,nan,Unknown,Swimming,,
17-Sep-1984,1984,Unprovoked,UNITED STATES,California,"Mission Beach, San Diego County",Wading,M,,N,15:30,Male,Swimming,15.0,Afternoon
15-Sep-1984,1984,Unprovoked,UNITED STATES,California,"Pigeon Point, San Mateo County",Skindiving,M,28.0,Y,08:30,Male,Diving,8.0,Morning
11-Sep-1984,1984,Provoked,MEXICO,Baja California,Guadalupe Island,Spearfishing,M,,N,17:50,Male,Spearfishing,17.0,Evening
24-Aug-1984,1984,Invalid,UNITED STATES,Florida,"Off Crystal River, Citrus County",Boat capsized?,F,31.0,Unknown,nan,Female,Other,,
07-Aug-1984,1984,Unprovoked,INDONESIA,,Bali,"Sea disaster, foundering of the cargo vessle M/V Dorolonda",M,,Y,nan,Male,Other,,
24-Jul-1984,1984,Unprovoked,UNITED STATES,Texas,South Padre Island,Swimming,F,13.0,N,14:30,Female,Swimming,14.0,Afternoon
24-Jul-1984,1984,Unprovoked,UNITED STATES,Texas,South Padre Island,Swimming,F,18.0,N,12:00,Female,Swimming,12.0,Afternoon
22-Jul-1984,1984,Invalid,SOUTH AFRICA,Western Cape Province,Cape Point,Spearfishing,M,21.0,Unknown,11:00,Male,Spearfishing,11.0,Morning
01-Jul-1984,1984,Unprovoked,UNITED STATES,Florida,,"During a shark fishing tournament, the 18' Boatem was capsized by waves, throwing 3 men into the water ",M,30.0,N,18:00,Male,Fishing,18.0,Evening
Jul-1984,1984,Unprovoked,SOUTH AFRICA,Kwazulu-Natal,Sodwana,Spearfishing,M,,N,nan,Male,Spearfishing,,
15-Jun-1984,1984,Unprovoked,SOUTH AFRICA,Western Cape Province,"Muizenberg, False Bay",Surfing,M,27.0,N,17:30,Male,Surfing,17.0,Evening
03-Jun-1984,1984,Unprovoked,UNITED STATES,Hawaii,"Kane'Ohe Bay, O'Ahu",Towing her sister on plastic ski board,F,13.0,N,17:00,Female,Surfing,17.0,Evening
03-Jun-1984,1984,Unprovoked,VANUATU,Malampa Province,"Atchin Island, Off Malakula",Swimming,M,20.0,Y,nan,Male,Swimming,,
31-May-1984,1984,Unprovoked,SOUTH AFRICA,Western Cape Province,Arniston,Spearfishing,M,28.0,N,13:30,Male,Spearfishing,13.0,Afternoon
17-Mar-1984,1984,Invalid,SOMALIA,,,Murder,M,,Unknown,nan,Male,Other,,
14-Mar-1984,1984,Unprovoked,SOUTH AFRICA,Kwazulu-Natal,Amanzimtoti,Surfing,M,,N,17:30,Male,Surfing,17.0,Evening
10-Mar-1984,1984,Watercraft,SOUTH AFRICA,Eastern Cape Province,Swartkops River Mouth,Rowing,M,,N,nan,Male,Other,,
01-Mar-1984,1984,Unprovoked,AUSTRALIA,Western Australia,Coral Bay,Unknown,Unknown,,Unknown,nan,Unknown,Unknown,,
18-Feb-1984,1984,Provoked,SOUTH AFRICA,Eastern Cape Province,"Paradise Beach, Jeffrey’S Bay",Fishing,M,,N,Night,Male,Fishing,,
17-Feb-1984,1984,Provoked,SOUTH AFRICA,Kwazulu-Natal,"Shark Tank At Oceanographic Research Insitute, Durban",Scuba diving,M,33.0,N,09:00,Male,Diving,9.0,Morning
12-Feb-1984,1984,Invalid,SOUTH AFRICA,Eastern Cape Province,St. George’S Strand,Unknown,Unknown,,Unknown,nan,Unknown,Unknown,,
11-Feb-1984,1984,Unprovoked,AUSTRALIA,Queensland,Derwent Island,Spearfishing,M,27.0,N,nan,Male,Spearfishing,,
05-Jan-1984,1984,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Port Alfred,Swimming,M,14.0,N,09:30,Male,Swimming,9.0,Morning
04-Jan-1984,1984,Unprovoked,SOUTH AFRICA,Kwazulu-Natal,Umlaas Canal,Unknown,F,14.0,Y,nan,Female,Unknown,,
1984,1984,Provoked,UNITED STATES,California,San Francisco,Steinhart Aquarium,M,,N,nan,Male,Other,,
1984,1984,Unprovoked,UNITED STATES,Florida,"Indiatlantic, Brevard County",Surfing,M,,N,nan,Male,Surfing,,
30-Dec-1983,1983,Invalid,GREECE,Andikira Fokithes,,Spearfishing,M,36.0,Unknown,02:45,Male,Spearfishing,2.0,Night
25-Dec-1983,1983,Unprovoked,UNITED STATES,Florida,"Riviera Beach, Palm Beach County",Surfing,M,17.0,N,15:30,Male,Surfing,15.0,Afternoon
24-Dec-1983,1983,Unprovoked,AUSTRALIA,South Australia,"Dangerous Reef, South Neptune Island",Scuba diving for abalone,M,48.0,N,nan,Male,Diving,,
22-Dec-1983,1983,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Great Fish River,Swimming,M,16.0,N,12:30,Male,Swimming,12.0,Afternoon
21-Dec-1983,1983,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,Swimming,M,47.0,N,08:15,Male,Swimming,8.0,Morning
07-Dec-1983,1983,Invalid,SOUTH AFRICA,Kwazulu-Natal,Lamercy,Unknown,M,,Unknown,nan,Male,Unknown,,
21-Nov-1983,1983,Sea Disaster,PHILIPPINES,Central Philippines,,Ferry boat sank,M,,N,nan,Male,Other,,
Reported      10-Nov-1983,1983,Unprovoked,UNITED STATES,Florida,"Melbourne Beach, Brevard County",Surfing,M,15.0,N,nan,Male,Surfing,,
10-Nov-1983,1983,Invalid,SOUTH AFRICA,Kwazulu-Natal,Tongaat,Swimming,F,,Unknown,nan,Female,Swimming,,
17-Oct-1983,1983,Unprovoked,UNITED STATES,Florida,"Stuart Beach, Martin County",Surfing,M,16.0,N,nan,Male,Surfing,,
13-Oct-1983,1983,Unprovoked,UNITED STATES,Florida,"Daytona Beach, Volusia County",Wading,M,20.0,N,nan,Male,Swimming,,
04-Sep-1983,1983,Unprovoked,UNITED STATES,Florida,"Off Lake Worth, Palm Beach County",Standing,M,15.0,N,nan,Male,Other,,
20-Aug-1983,1983,Unprovoked,UNITED STATES,Oregon,"Cape Kiwanda,Tillamook County",Surfing,M,,N,10:00,Male,Surfing,10.0,Morning
20-Aug-1983,1983,Unprovoked,SOUTH AFRICA,Western Cape Province,"Seal Island, False Bay",Spearfishing,M,29.0,N,10:00,Male,Spearfishing,10.0,Morning
15-Aug-1983,1983,Unprovoked,UNITED STATES,Virginia,"Virginia Beach, Princess Anne County",Swimming,F,14.0,N,Morning,Female,Swimming,,
13-Aug-1983,1983,Provoked,UNITED STATES,Florida,"Riviera Beach, Palm Beach County",Skindiving,M,14.0,N,nan,Male,Diving,,
13-Aug-1983,1983,Unprovoked,UNITED STATES,Florida,"South Of Boca Chica Key, Monroe County",Diving,F,22.0,N,Morning,Female,Diving,,
06-Aug-1983,1983,Watercraft,UNITED STATES,Rhode Island,,Fishing,Unknown,,N,nan,Unknown,Fishing,,
26-Jul-1983,1983,Sea Disaster,AUSTRALIA,Queensland,"Off Lodestone Reef, Great Barrier Reef, North Of Townsville",Swimming from the New Venture ,F,21.0,Y,04:00,Female,Swimming,4.0,Night
25-Jul-1983,1983,Sea Disaster,AUSTRALIA,Queensland,"Off Lodestone Reef, Great Barrier Reef, North Of Townsville",Swimming from the New Venture ,M,24.0,Y,Night,Male,Swimming,,
25-Jul-1983,1983,Sea Disaster,AUSTRALIA,Queensland,"Off Lodestone Reef, Great Barrier Reef, North Of Townsville",14 m prawn trawler New Venture capsized  & sank in heavy seas Three people in the water,M,28.0,N,Night,Male,Other,,
15-Jul-1983,1983,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Seal Point, Cape St. Francis",Surfing,M,,N,nan,Male,Surfing,,
12-Jul-1983,1983,Unprovoked,UNITED STATES,Florida,"Caloosahatchee River, Lee County",Windsurfing,F,39.0,N,Afternoon,Female,Surfing,,
08-Jul-1983,1983,Unprovoked,BAHAMAS,Abaco Islands,Green Turtle Cay,Spearfishing,M,13.0,N,12:00,Male,Spearfishing,12.0,Afternoon
05-Jul-1983,1983,Unprovoked,UNITED STATES,Florida,"Riviera Beach, Palm Beach County",Floating on air mattress,M,17.0,N,nan,Male,Swimming,,
29-Jun-1983,1983,Unprovoked,UNITED STATES,Florida,"Off 12Th Street, Miami Beach",Swimming,M,42.0,N,11:00,Male,Swimming,11.0,Morning
22-Jun-1983,1983,Unprovoked,BAHAMAS,Abaco Islands,"Off Sandy Point, Great Abaco Island",Spearfishing,M,15.0,Y,16:00,Male,Spearfishing,16.0,Afternoon
20-Jun-1983,1983,Unprovoked,UNITED STATES,Florida,"Cocoa Beach, Brevard County",Surfing & dangling foot in water amid baitfish,M,21.0,N,16:30,Male,Surfing,16.0,Afternoon
15-Jun-1983,1983,Unprovoked,BAHAMAS,,Carter Cay,Unknown,M,30.0,N,11:00,Male,Unknown,11.0,Morning
15-Jun-1983,1983,Invalid,ITALY,Northwest Italy,Riomaggiore (Ligura),Scuba diving,M,,Unknown,nan,Male,Diving,,
June 1983,1983,Unprovoked,BAHAMAS,Berry Islands,Whale Cay,Spearfishing,M,,N,17:00,Male,Spearfishing,17.0,Evening
31-May-1983,1983,Unprovoked,UNITED STATES,Florida,"Intracoastal Waterway, Boca Raton, Palm Beach County",Water-skiing,M,21.0,N,Dusk,Male,Other,,
24-May 1983,1983,Unprovoked,UNITED STATES,Florida,"Riviera Beach, Palm Beach County",Surfing,M,15.0,N,nan,Male,Surfing,,
21-May-1983,1983,Unprovoked,UNITED STATES,Florida,"Haulover Inlet, Dade County",Surfing,M,22.0,N,14:00,Male,Surfing,14.0,Afternoon
19-Apr-1983,1983,Unprovoked,UNITED STATES,Florida,,Surfing,M,,Unknown,nan,Male,Surfing,,
12-Apr-1983,1983,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Bonza Bay,Fishing,M,27.0,N,19:30,Male,Fishing,19.0,Evening
02-Apr-1983,1983,Unprovoked,UNITED STATES,Florida,"Lake Worth Beach, Palm Beach County",Surfing,M,16.0,N,11:00,Male,Surfing,11.0,Morning
02-Apr-1983,1983,Invalid,SOUTH AFRICA,Kwazulu-Natal,Mpande,Unknown,M,,Unknown,nan,Male,Unknown,,
30-Mar-1983,1983,Unprovoked,SOUTH AFRICA,Kwazulu-Natal,Scottburgh,Spearfishing,M,17.0,N,11:15,Male,Spearfishing,11.0,Morning
22-Mar-1983,1983,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,Surfing,M,,N,12:30,Male,Surfing,12.0,Afternoon
10-Mar-1983,1983,Unprovoked,UNITED STATES,Florida,"Juno Beach, Palm Beach County",Surfing,M,,N,nan,Male,Surfing,,
Mar-1983,1983,Unprovoked,NEW CALEDONIA,Loyalty Islands,"We, Lifou",Unknown,Unknown,,N,nan,Unknown,Unknown,,
20-Feb-1983,1983,Unprovoked,SOUTH AFRICA,Kwazulu-Natal,Mtunzini,Paddleskiing,M,16.0,N,12:30,Male,Other,12.0,Afternoon
24-Jan-1983,1983,Provoked,UNITED STATES,South Carolina,Southeast Of Beaufort,Fishing,M,43.0,N,nan,Male,Fishing,,
15-Jan-1983,1983,Invalid,SOUTH AFRICA,Kwazulu-Natal,Amanzimtoti,Unknown,M,,Unknown,nan,Male,Unknown,,
10-Jan-1983,1983,Unprovoked,SOUTH AFRICA,Western Cape Province,Muizenberg,Windsurfing,M,22.0,N,18:15,Male,Surfing,18.0,Evening
08-Jan-1983,1983,Unprovoked,SOUTH AFRICA,Western Cape Province,Holbaai,Spearfishing,M,32.0,N,13:00,Male,Spearfishing,13.0,Afternoon
Ca. 1983,1983,Unprovoked,UNKNOWN,English Channel,,Swimming,M,,N,nan,Male,Swimming,,
1983,1983,Unprovoked,VANUATU,Malampa Province,"Off The Beach Opposite Atchin Island, Malakula",Ran into the water,M,,Y,nan,Male,Other,,
1983,1983,Provoked,UNITED STATES,North & South Carolina,,Fishing,M,,N,nan,Male,Fishing,,
26-Dec-1982,1982,Unprovoked,AUSTRALIA,New South Wales,Suffolk Park,Surfing,M,27.0,N,Morning,Male,Surfing,,
Nov-1982,1982,Unprovoked,UNITED STATES,South Carolina,"Isle Of Palms, Charleston County",In waist-deep water,M,,N,nan,Male,Other,,
23-Oct-1962,1982,Sea Disaster,UNITED STATES,Carolina Coast,,Yacht Trashman capsized in storm,M x 2,,Unknown,nan,Male,Other,,
13-Oct-1982,1982,Unprovoked,UNITED STATES,Florida,North Dade- Interama Area Of Biscayne Bay,Windsurfing,M,26.0,N,11:00,Male,Surfing,11.0,Morning
30-Sep-1982,1982,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,M,16.0,N,16:00,Male,Surfing,16.0,Afternoon
30-Sep-1982,1982,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,M,16.0,N,14:50,Male,Surfing,14.0,Afternoon
27-Sep-1982,1982,Unprovoked,UNITED STATES,Florida,"Patrick Air Force Base, Brevard County",Surfing,M,20.0,N,13:30,Male,Surfing,13.0,Afternoon
